Overriding config with config/train_shakespeare_char_mac.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 80
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 2000
lr_decay_iters = 2000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'mps'  # run on cpu only
compile = False # do not torch compile the model

Overriding: n_head = 4
Overriding: n_layer = 8
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 14.19M
num decayed parameter tensors: 34, with 14,279,040 parameters
num non-decayed parameter tensors: 17, with 6,528 parameters
using fused AdamW: False
step 0: train loss 4.3095, val loss 4.3018
iter 0: loss 4.2825, time 39600.27ms, mfu -100.00%
iter 10: loss 3.1975, time 686.89ms, mfu 0.72%
iter 20: loss 2.7802, time 658.16ms, mfu 0.73%
iter 30: loss 2.6202, time 724.95ms, mfu 0.72%
iter 40: loss 2.5625, time 729.55ms, mfu 0.72%
iter 50: loss 2.5263, time 735.85ms, mfu 0.71%
iter 60: loss 2.5083, time 728.42ms, mfu 0.71%
iter 70: loss 2.4969, time 702.38ms, mfu 0.71%
iter 80: loss 2.4899, time 733.09ms, mfu 0.71%
iter 90: loss 2.4695, time 742.59ms, mfu 0.70%
iter 100: loss 2.4961, time 729.48ms, mfu 0.70%
iter 110: loss 2.4696, time 737.75ms, mfu 0.70%
iter 120: loss 2.4353, time 822.97ms, mfu 0.69%
iter 130: loss 2.4147, time 704.91ms, mfu 0.69%
iter 140: loss 2.3896, time 716.23ms, mfu 0.69%
iter 150: loss 2.3928, time 783.48ms, mfu 0.68%
iter 160: loss 2.3593, time 680.62ms, mfu 0.69%
iter 170: loss 2.3065, time 708.16ms, mfu 0.69%
iter 180: loss 2.2737, time 734.21ms, mfu 0.69%
iter 190: loss 2.2168, time 705.60ms, mfu 0.69%
iter 200: loss 2.1651, time 722.44ms, mfu 0.69%
iter 210: loss 2.1429, time 725.46ms, mfu 0.69%
iter 220: loss 2.1266, time 762.43ms, mfu 0.69%
iter 230: loss 2.0662, time 715.12ms, mfu 0.69%
iter 240: loss 2.0492, time 728.47ms, mfu 0.69%
step 250: train loss 1.9465, val loss 2.0495
saving checkpoint to out-shakespeare-char
iter 250: loss 2.0020, time 40883.90ms, mfu 0.62%
iter 260: loss 1.9958, time 792.76ms, mfu 0.62%
iter 270: loss 1.9678, time 760.55ms, mfu 0.62%
iter 280: loss 1.9367, time 698.16ms, mfu 0.63%
iter 290: loss 1.9268, time 700.23ms, mfu 0.64%
iter 300: loss 1.9071, time 717.87ms, mfu 0.64%
iter 310: loss 1.8828, time 712.89ms, mfu 0.65%
iter 320: loss 1.8687, time 734.73ms, mfu 0.65%
iter 330: loss 1.8224, time 747.36ms, mfu 0.65%
iter 340: loss 1.8283, time 687.52ms, mfu 0.66%
iter 350: loss 1.8201, time 680.07ms, mfu 0.67%
iter 360: loss 1.8090, time 710.56ms, mfu 0.67%
iter 370: loss 1.7691, time 768.97ms, mfu 0.67%
iter 380: loss 1.7608, time 727.40ms, mfu 0.67%
iter 390: loss 1.7166, time 754.73ms, mfu 0.67%
iter 400: loss 1.6952, time 742.07ms, mfu 0.67%
iter 410: loss 1.7013, time 788.79ms, mfu 0.66%
iter 420: loss 1.7094, time 739.60ms, mfu 0.67%
iter 430: loss 1.7421, time 795.42ms, mfu 0.66%
iter 440: loss 1.6881, time 730.01ms, mfu 0.66%
iter 450: loss 1.6626, time 710.46ms, mfu 0.67%
iter 460: loss 1.6760, time 724.99ms, mfu 0.67%
iter 470: loss 1.6590, time 803.00ms, mfu 0.66%
iter 480: loss 1.6620, time 687.53ms, mfu 0.67%
iter 490: loss 1.6537, time 694.35ms, mfu 0.67%
step 500: train loss 1.5408, val loss 1.7235
saving checkpoint to out-shakespeare-char
iter 500: loss 1.6251, time 40395.88ms, mfu 0.61%
iter 510: loss 1.6286, time 688.81ms, mfu 0.62%
iter 520: loss 1.6222, time 690.57ms, mfu 0.63%
iter 530: loss 1.5826, time 696.94ms, mfu 0.64%
iter 540: loss 1.6100, time 694.39ms, mfu 0.65%
iter 550: loss 1.5790, time 700.64ms, mfu 0.65%
iter 560: loss 1.5705, time 690.99ms, mfu 0.66%
iter 570: loss 1.5576, time 695.01ms, mfu 0.66%
iter 580: loss 1.5446, time 712.46ms, mfu 0.67%
iter 590: loss 1.5394, time 691.49ms, mfu 0.67%
iter 600: loss 1.5053, time 715.61ms, mfu 0.67%
iter 610: loss 1.5190, time 691.30ms, mfu 0.68%
iter 620: loss 1.5265, time 686.96ms, mfu 0.68%
iter 630: loss 1.5126, time 688.61ms, mfu 0.69%
iter 640: loss 1.4655, time 692.04ms, mfu 0.69%
iter 650: loss 1.5349, time 683.15ms, mfu 0.69%
iter 660: loss 1.5056, time 699.13ms, mfu 0.70%
iter 670: loss 1.5138, time 690.44ms, mfu 0.70%
iter 680: loss 1.5138, time 740.26ms, mfu 0.70%
iter 690: loss 1.4857, time 701.52ms, mfu 0.70%
iter 700: loss 1.4424, time 692.78ms, mfu 0.70%
iter 710: loss 1.4589, time 685.45ms, mfu 0.70%
iter 720: loss 1.4631, time 690.67ms, mfu 0.70%
iter 730: loss 1.4798, time 690.37ms, mfu 0.70%
iter 740: loss 1.4237, time 698.17ms, mfu 0.71%
step 750: train loss 1.3568, val loss 1.5705
saving checkpoint to out-shakespeare-char
iter 750: loss 1.4349, time 38446.39ms, mfu 0.64%
iter 760: loss 1.4354, time 827.15ms, mfu 0.63%
iter 770: loss 1.4366, time 698.96ms, mfu 0.64%
iter 780: loss 1.4427, time 683.39ms, mfu 0.65%
iter 790: loss 1.3927, time 697.08ms, mfu 0.66%
iter 800: loss 1.4306, time 688.92ms, mfu 0.66%
iter 810: loss 1.4097, time 689.41ms, mfu 0.67%
iter 820: loss 1.4088, time 687.41ms, mfu 0.67%
iter 830: loss 1.3943, time 688.83ms, mfu 0.68%
iter 840: loss 1.4226, time 705.68ms, mfu 0.68%
iter 850: loss 1.3673, time 713.47ms, mfu 0.68%
iter 860: loss 1.3646, time 696.37ms, mfu 0.69%
iter 870: loss 1.3983, time 704.66ms, mfu 0.69%
iter 880: loss 1.3483, time 690.74ms, mfu 0.69%
iter 890: loss 1.3909, time 707.83ms, mfu 0.69%
iter 900: loss 1.3484, time 690.32ms, mfu 0.69%
iter 910: loss 1.3515, time 717.27ms, mfu 0.69%
iter 920: loss 1.4072, time 725.95ms, mfu 0.69%
iter 930: loss 1.3615, time 769.43ms, mfu 0.69%
iter 940: loss 1.3314, time 739.14ms, mfu 0.69%
iter 950: loss 1.3549, time 719.88ms, mfu 0.69%
iter 960: loss 1.3268, time 691.55ms, mfu 0.69%
iter 970: loss 1.3454, time 690.53ms, mfu 0.69%
iter 980: loss 1.3355, time 690.18ms, mfu 0.70%
iter 990: loss 1.3466, time 699.56ms, mfu 0.70%
step 1000: train loss 1.2539, val loss 1.5036
saving checkpoint to out-shakespeare-char
iter 1000: loss 1.3318, time 41003.40ms, mfu 0.63%
iter 1010: loss 1.3431, time 677.49ms, mfu 0.64%
iter 1020: loss 1.3488, time 702.26ms, mfu 0.65%
iter 1030: loss 1.2828, time 682.89ms, mfu 0.65%
iter 1040: loss 1.3046, time 715.31ms, mfu 0.66%
iter 1050: loss 1.3194, time 694.05ms, mfu 0.66%
iter 1060: loss 1.3103, time 682.64ms, mfu 0.67%
iter 1070: loss 1.2967, time 687.99ms, mfu 0.68%
iter 1080: loss 1.2890, time 777.60ms, mfu 0.67%
iter 1090: loss 1.3177, time 710.15ms, mfu 0.67%
iter 1100: loss 1.3297, time 696.92ms, mfu 0.68%
iter 1110: loss 1.3091, time 758.39ms, mfu 0.68%
iter 1120: loss 1.2897, time 711.10ms, mfu 0.68%
iter 1130: loss 1.2923, time 715.90ms, mfu 0.68%
iter 1140: loss 1.2690, time 704.86ms, mfu 0.68%
iter 1150: loss 1.2891, time 681.98ms, mfu 0.69%
iter 1160: loss 1.2946, time 689.98ms, mfu 0.69%
iter 1170: loss 1.2312, time 780.51ms, mfu 0.68%
iter 1180: loss 1.3046, time 675.18ms, mfu 0.69%
iter 1190: loss 1.2962, time 689.65ms, mfu 0.69%
iter 1200: loss 1.2573, time 690.12ms, mfu 0.70%
iter 1210: loss 1.2535, time 692.56ms, mfu 0.70%
iter 1220: loss 1.2821, time 703.02ms, mfu 0.70%
iter 1230: loss 1.2794, time 718.49ms, mfu 0.70%
