Overriding config with config/train_shakespeare_char_mac.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 80
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 2000
lr_decay_iters = 2000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'mps'  # run on cpu only
compile = False # do not torch compile the model

Overriding: n_head = 6
Overriding: n_layer = 4
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 7.11M
num decayed parameter tensors: 18, with 7,201,152 parameters
num non-decayed parameter tensors: 9, with 3,456 parameters
using fused AdamW: False
step 0: train loss 4.1981, val loss 4.2014
iter 0: loss 4.2167, time 16446.25ms, mfu -100.00%
iter 10: loss 3.2533, time 316.01ms, mfu 0.79%
iter 20: loss 2.8247, time 308.39ms, mfu 0.79%
iter 30: loss 2.6374, time 311.27ms, mfu 0.79%
iter 40: loss 2.5656, time 312.00ms, mfu 0.79%
iter 50: loss 2.5180, time 310.16ms, mfu 0.79%
iter 60: loss 2.5233, time 308.91ms, mfu 0.79%
iter 70: loss 2.4982, time 307.80ms, mfu 0.79%
iter 80: loss 2.4970, time 307.38ms, mfu 0.80%
iter 90: loss 2.4817, time 305.88ms, mfu 0.80%
iter 100: loss 2.4554, time 309.47ms, mfu 0.80%
iter 110: loss 2.4641, time 305.71ms, mfu 0.80%
iter 120: loss 2.4518, time 306.44ms, mfu 0.80%
iter 130: loss 2.4323, time 306.40ms, mfu 0.80%
iter 140: loss 2.4170, time 314.54ms, mfu 0.80%
iter 150: loss 2.3989, time 304.89ms, mfu 0.80%
iter 160: loss 2.3881, time 305.48ms, mfu 0.80%
iter 170: loss 2.3599, time 307.13ms, mfu 0.80%
iter 180: loss 2.3139, time 305.47ms, mfu 0.81%
iter 190: loss 2.2976, time 307.52ms, mfu 0.81%
iter 200: loss 2.2466, time 306.27ms, mfu 0.81%
iter 210: loss 2.1694, time 306.71ms, mfu 0.81%
iter 220: loss 2.1356, time 306.66ms, mfu 0.81%
iter 230: loss 2.1221, time 306.00ms, mfu 0.81%
iter 240: loss 2.0552, time 305.37ms, mfu 0.81%
