Overriding config with config/train_shakespeare_char_mac.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 80
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 2000
lr_decay_iters = 2000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'mps'  # run on cpu only
compile = False # do not torch compile the model

Overriding: n_head = 4
Overriding: n_layer = 4
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 7.11M
num decayed parameter tensors: 18, with 7,201,152 parameters
num non-decayed parameter tensors: 9, with 3,456 parameters
using fused AdamW: False
step 0: train loss 4.1988, val loss 4.2022
iter 0: loss 4.2181, time 19903.37ms, mfu -100.00%
iter 10: loss 3.2535, time 352.99ms, mfu 0.70%
iter 20: loss 2.8238, time 341.70ms, mfu 0.71%
iter 30: loss 2.6378, time 362.89ms, mfu 0.70%
iter 40: loss 2.5665, time 354.62ms, mfu 0.70%
iter 50: loss 2.5186, time 349.45ms, mfu 0.71%
iter 60: loss 2.5226, time 351.79ms, mfu 0.71%
iter 70: loss 2.4979, time 362.28ms, mfu 0.70%
iter 80: loss 2.4965, time 351.68ms, mfu 0.70%
iter 90: loss 2.4824, time 342.71ms, mfu 0.71%
iter 100: loss 2.4567, time 346.44ms, mfu 0.71%
iter 110: loss 2.4644, time 330.72ms, mfu 0.71%
iter 120: loss 2.4500, time 348.31ms, mfu 0.71%
iter 130: loss 2.4397, time 343.51ms, mfu 0.71%
iter 140: loss 2.4179, time 337.59ms, mfu 0.72%
iter 150: loss 2.3971, time 347.77ms, mfu 0.72%
iter 160: loss 2.3766, time 351.30ms, mfu 0.71%
iter 170: loss 2.3454, time 343.31ms, mfu 0.72%
iter 180: loss 2.2789, time 346.16ms, mfu 0.72%
iter 190: loss 2.2485, time 350.14ms, mfu 0.72%
iter 200: loss 2.1930, time 355.16ms, mfu 0.71%
iter 210: loss 2.1329, time 344.96ms, mfu 0.71%
iter 220: loss 2.0982, time 344.16ms, mfu 0.72%
iter 230: loss 2.0954, time 348.04ms, mfu 0.72%
iter 240: loss 2.0366, time 349.34ms, mfu 0.71%
step 250: train loss 1.9278, val loss 2.0416
saving checkpoint to out-shakespeare-char
iter 250: loss 2.0030, time 21091.11ms, mfu 0.64%
iter 260: loss 1.9622, time 369.29ms, mfu 0.65%
iter 270: loss 1.9536, time 377.56ms, mfu 0.65%
iter 280: loss 1.9615, time 352.24ms, mfu 0.65%
iter 290: loss 1.9437, time 356.53ms, mfu 0.66%
iter 300: loss 1.8835, time 355.16ms, mfu 0.66%
iter 310: loss 1.8784, time 348.23ms, mfu 0.67%
iter 320: loss 1.8688, time 360.68ms, mfu 0.67%
iter 330: loss 1.8545, time 356.35ms, mfu 0.67%
iter 340: loss 1.8251, time 348.58ms, mfu 0.68%
iter 350: loss 1.8312, time 348.65ms, mfu 0.68%
iter 360: loss 1.8027, time 366.93ms, mfu 0.68%
iter 370: loss 1.7596, time 339.98ms, mfu 0.69%
