Overriding config with config/train_shakespeare_char_mac.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 80
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 2000
lr_decay_iters = 2000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'mps'  # run on cpu only
compile = False # do not torch compile the model

Overriding: n_head = 8
Overriding: n_layer = 4
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 7.11M
num decayed parameter tensors: 18, with 7,201,152 parameters
num non-decayed parameter tensors: 9, with 3,456 parameters
using fused AdamW: False
step 0: train loss 4.1980, val loss 4.2012
iter 0: loss 4.2183, time 18487.21ms, mfu -100.00%
iter 10: loss 3.2535, time 344.98ms, mfu 0.72%
iter 20: loss 2.8235, time 344.39ms, mfu 0.72%
iter 30: loss 2.6367, time 346.17ms, mfu 0.72%
iter 40: loss 2.5658, time 345.22ms, mfu 0.72%
iter 50: loss 2.5185, time 343.01ms, mfu 0.72%
iter 60: loss 2.5225, time 343.06ms, mfu 0.72%
iter 70: loss 2.4986, time 344.59ms, mfu 0.72%
iter 80: loss 2.4942, time 347.10ms, mfu 0.72%
iter 90: loss 2.4848, time 346.26ms, mfu 0.72%
iter 100: loss 2.4573, time 340.82ms, mfu 0.72%
iter 110: loss 2.4635, time 350.97ms, mfu 0.72%
iter 120: loss 2.4533, time 345.58ms, mfu 0.72%
iter 130: loss 2.4352, time 345.61ms, mfu 0.72%
iter 140: loss 2.4152, time 339.56ms, mfu 0.72%
iter 150: loss 2.3991, time 346.87ms, mfu 0.72%
iter 160: loss 2.3910, time 345.44ms, mfu 0.72%
iter 170: loss 2.3720, time 366.01ms, mfu 0.72%
iter 180: loss 2.3301, time 342.10ms, mfu 0.72%
iter 190: loss 2.3135, time 347.73ms, mfu 0.72%
iter 200: loss 2.2677, time 343.44ms, mfu 0.72%
iter 210: loss 2.2053, time 343.72ms, mfu 0.72%
iter 220: loss 2.1743, time 341.75ms, mfu 0.72%
iter 230: loss 2.1616, time 342.26ms, mfu 0.72%
iter 240: loss 2.0880, time 345.34ms, mfu 0.72%
step 250: train loss 1.9806, val loss 2.0762
saving checkpoint to out-shakespeare-char
iter 250: loss 2.0466, time 18161.35ms, mfu 0.65%
iter 260: loss 2.0044, time 349.59ms, mfu 0.66%
iter 270: loss 2.0066, time 340.36ms, mfu 0.66%
iter 280: loss 1.9981, time 345.76ms, mfu 0.67%
iter 290: loss 1.9861, time 343.90ms, mfu 0.67%
iter 300: loss 1.9224, time 341.12ms, mfu 0.68%
iter 310: loss 1.9049, time 341.87ms, mfu 0.68%
iter 320: loss 1.8938, time 340.00ms, mfu 0.69%
iter 330: loss 1.8710, time 342.96ms, mfu 0.69%
iter 340: loss 1.8318, time 346.74ms, mfu 0.70%
iter 350: loss 1.8334, time 340.43ms, mfu 0.70%
iter 360: loss 1.8054, time 341.87ms, mfu 0.70%
iter 370: loss 1.7609, time 340.78ms, mfu 0.70%
iter 380: loss 1.7683, time 342.95ms, mfu 0.71%
iter 390: loss 1.7760, time 341.62ms, mfu 0.71%
iter 400: loss 1.7234, time 341.12ms, mfu 0.71%
iter 410: loss 1.7284, time 339.29ms, mfu 0.71%
iter 420: loss 1.7481, time 344.18ms, mfu 0.71%
iter 430: loss 1.7020, time 339.65ms, mfu 0.72%
iter 440: loss 1.6889, time 347.34ms, mfu 0.72%
iter 450: loss 1.7030, time 344.97ms, mfu 0.72%
iter 460: loss 1.6527, time 343.27ms, mfu 0.72%
iter 470: loss 1.6521, time 345.77ms, mfu 0.72%
iter 480: loss 1.6379, time 340.28ms, mfu 0.72%
iter 490: loss 1.6301, time 340.46ms, mfu 0.72%
step 500: train loss 1.5437, val loss 1.7513
saving checkpoint to out-shakespeare-char
iter 500: loss 1.6621, time 18516.99ms, mfu 0.65%
iter 510: loss 1.6083, time 338.98ms, mfu 0.66%
iter 520: loss 1.6049, time 343.83ms, mfu 0.66%
iter 530: loss 1.5869, time 340.78ms, mfu 0.67%
iter 540: loss 1.6019, time 341.68ms, mfu 0.68%
iter 550: loss 1.5904, time 339.07ms, mfu 0.68%
iter 560: loss 1.5549, time 339.47ms, mfu 0.69%
iter 570: loss 1.5347, time 346.59ms, mfu 0.69%
iter 580: loss 1.5588, time 339.20ms, mfu 0.69%
iter 590: loss 1.5417, time 341.83ms, mfu 0.70%
iter 600: loss 1.5165, time 341.77ms, mfu 0.70%
iter 610: loss 1.5304, time 342.49ms, mfu 0.70%
iter 620: loss 1.5314, time 341.61ms, mfu 0.71%
iter 630: loss 1.5330, time 340.50ms, mfu 0.71%
iter 640: loss 1.5171, time 342.09ms, mfu 0.71%
iter 650: loss 1.5482, time 342.40ms, mfu 0.71%
iter 660: loss 1.5092, time 343.03ms, mfu 0.71%
iter 670: loss 1.5291, time 347.05ms, mfu 0.71%
iter 680: loss 1.5137, time 354.95ms, mfu 0.71%
iter 690: loss 1.4806, time 338.77ms, mfu 0.71%
iter 700: loss 1.4915, time 339.56ms, mfu 0.72%
iter 710: loss 1.4881, time 342.30ms, mfu 0.72%
iter 720: loss 1.4933, time 349.32ms, mfu 0.72%
iter 730: loss 1.4636, time 340.09ms, mfu 0.72%
iter 740: loss 1.5039, time 344.50ms, mfu 0.72%
step 750: train loss 1.3852, val loss 1.5974
saving checkpoint to out-shakespeare-char
iter 750: loss 1.4468, time 18214.44ms, mfu 0.65%
iter 760: loss 1.4442, time 344.80ms, mfu 0.66%
iter 770: loss 1.4511, time 339.12ms, mfu 0.66%
iter 780: loss 1.4634, time 339.65ms, mfu 0.67%
iter 790: loss 1.4371, time 338.79ms, mfu 0.68%
iter 800: loss 1.4515, time 339.23ms, mfu 0.68%
iter 810: loss 1.4277, time 339.30ms, mfu 0.69%
iter 820: loss 1.4408, time 340.60ms, mfu 0.69%
