Overriding config with config/train_shakespeare_char_mac.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 80
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 2000
lr_decay_iters = 2000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'mps'  # run on cpu only
compile = False # do not torch compile the model

Overriding: n_head = 8
Overriding: n_layer = 8
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 14.19M
num decayed parameter tensors: 34, with 14,279,040 parameters
num non-decayed parameter tensors: 17, with 6,528 parameters
using fused AdamW: False
step 0: train loss 4.3090, val loss 4.3014
iter 0: loss 4.2825, time 35849.43ms, mfu -100.00%
iter 10: loss 3.1980, time 702.51ms, mfu 0.71%
iter 20: loss 2.7805, time 707.73ms, mfu 0.71%
iter 30: loss 2.6201, time 698.50ms, mfu 0.71%
iter 40: loss 2.5617, time 690.55ms, mfu 0.71%
iter 50: loss 2.5267, time 719.45ms, mfu 0.71%
iter 60: loss 2.5096, time 700.08ms, mfu 0.71%
iter 70: loss 2.4907, time 702.26ms, mfu 0.71%
iter 80: loss 2.4907, time 727.60ms, mfu 0.70%
iter 90: loss 2.4634, time 696.89ms, mfu 0.71%
iter 100: loss 2.4954, time 740.72ms, mfu 0.70%
iter 110: loss 2.4674, time 704.37ms, mfu 0.70%
iter 120: loss 2.4347, time 731.28ms, mfu 0.70%
iter 130: loss 2.4143, time 688.94ms, mfu 0.70%
iter 140: loss 2.4002, time 753.10ms, mfu 0.70%
iter 150: loss 2.4004, time 743.00ms, mfu 0.69%
iter 160: loss 2.3740, time 679.10ms, mfu 0.70%
iter 170: loss 2.3213, time 695.73ms, mfu 0.70%
iter 180: loss 2.3330, time 718.21ms, mfu 0.70%
iter 190: loss 2.2774, time 713.97ms, mfu 0.70%
iter 200: loss 2.2571, time 689.31ms, mfu 0.70%
iter 210: loss 2.2111, time 699.47ms, mfu 0.70%
iter 220: loss 2.1791, time 734.93ms, mfu 0.70%
iter 230: loss 2.1229, time 736.53ms, mfu 0.70%
iter 240: loss 2.1039, time 681.67ms, mfu 0.70%
step 250: train loss 1.9908, val loss 2.0763
saving checkpoint to out-shakespeare-char
iter 250: loss 2.0434, time 36874.32ms, mfu 0.63%
iter 260: loss 2.0255, time 694.44ms, mfu 0.64%
iter 270: loss 2.0069, time 686.20ms, mfu 0.65%
iter 280: loss 1.9552, time 767.87ms, mfu 0.65%
iter 290: loss 1.9543, time 677.67ms, mfu 0.66%
iter 300: loss 1.9273, time 697.63ms, mfu 0.66%
iter 310: loss 1.8982, time 690.28ms, mfu 0.67%
iter 320: loss 1.8757, time 695.06ms, mfu 0.67%
iter 330: loss 1.8299, time 701.46ms, mfu 0.68%
iter 340: loss 1.8246, time 712.96ms, mfu 0.68%
iter 350: loss 1.8229, time 704.65ms, mfu 0.68%
iter 360: loss 1.7976, time 691.32ms, mfu 0.68%
iter 370: loss 1.7512, time 720.87ms, mfu 0.68%
iter 380: loss 1.7583, time 706.01ms, mfu 0.69%
iter 390: loss 1.6986, time 707.35ms, mfu 0.69%
iter 400: loss 1.6800, time 748.71ms, mfu 0.69%
iter 410: loss 1.6792, time 682.19ms, mfu 0.69%
iter 420: loss 1.6876, time 688.00ms, mfu 0.69%
iter 430: loss 1.7138, time 689.45ms, mfu 0.70%
iter 440: loss 1.6449, time 689.90ms, mfu 0.70%
iter 450: loss 1.6406, time 683.13ms, mfu 0.70%
iter 460: loss 1.6446, time 685.05ms, mfu 0.70%
