Overriding config with config/train_shakespeare_char_mac.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 80
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 2000
lr_decay_iters = 2000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'mps'  # run on cpu only
compile = False # do not torch compile the model

Overriding: n_head = 8
Overriding: n_layer = 6
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
step 0: train loss 4.2877, val loss 4.2813
iter 0: loss 4.2630, time 26991.96ms, mfu -100.00%
iter 10: loss 3.2208, time 507.73ms, mfu 0.73%
iter 20: loss 2.7839, time 529.76ms, mfu 0.73%
iter 30: loss 2.6258, time 506.48ms, mfu 0.73%
iter 40: loss 2.5694, time 539.52ms, mfu 0.73%
iter 50: loss 2.5329, time 521.69ms, mfu 0.73%
iter 60: loss 2.5125, time 506.64ms, mfu 0.73%
iter 70: loss 2.4853, time 507.22ms, mfu 0.73%
iter 80: loss 2.4838, time 508.14ms, mfu 0.73%
iter 90: loss 2.4727, time 506.95ms, mfu 0.73%
iter 100: loss 2.4795, time 505.62ms, mfu 0.73%
iter 110: loss 2.4386, time 506.57ms, mfu 0.73%
iter 120: loss 2.4279, time 510.19ms, mfu 0.73%
iter 130: loss 2.4415, time 506.37ms, mfu 0.73%
iter 140: loss 2.4041, time 505.98ms, mfu 0.73%
iter 150: loss 2.3731, time 508.93ms, mfu 0.73%
iter 160: loss 2.4093, time 520.11ms, mfu 0.73%
iter 170: loss 2.3661, time 526.74ms, mfu 0.73%
iter 180: loss 2.3438, time 506.66ms, mfu 0.73%
iter 190: loss 2.2963, time 506.11ms, mfu 0.73%
iter 200: loss 2.2499, time 511.40ms, mfu 0.73%
iter 210: loss 2.2090, time 508.36ms, mfu 0.73%
iter 220: loss 2.1574, time 507.38ms, mfu 0.73%
iter 230: loss 2.1264, time 507.62ms, mfu 0.73%
iter 240: loss 2.1040, time 511.86ms, mfu 0.73%
step 250: train loss 1.9807, val loss 2.0837
saving checkpoint to out-shakespeare-char
iter 250: loss 2.0439, time 28405.88ms, mfu 0.66%
iter 260: loss 2.0304, time 525.35ms, mfu 0.66%
iter 270: loss 1.9838, time 511.06ms, mfu 0.67%
iter 280: loss 1.9618, time 509.72ms, mfu 0.68%
iter 290: loss 1.9225, time 516.21ms, mfu 0.68%
iter 300: loss 1.9269, time 509.86ms, mfu 0.69%
iter 310: loss 1.8729, time 514.87ms, mfu 0.69%
iter 320: loss 1.8859, time 509.87ms, mfu 0.69%
iter 330: loss 1.8640, time 519.80ms, mfu 0.70%
iter 340: loss 1.8339, time 519.14ms, mfu 0.70%
iter 350: loss 1.8249, time 507.84ms, mfu 0.70%
iter 360: loss 1.8059, time 506.84ms, mfu 0.71%
iter 370: loss 1.8042, time 508.32ms, mfu 0.71%
iter 380: loss 1.7426, time 505.07ms, mfu 0.71%
iter 390: loss 1.7585, time 507.32ms, mfu 0.71%
iter 400: loss 1.7257, time 506.16ms, mfu 0.72%
iter 410: loss 1.7066, time 505.61ms, mfu 0.72%
iter 420: loss 1.7004, time 506.39ms, mfu 0.72%
iter 430: loss 1.6807, time 505.85ms, mfu 0.72%
iter 440: loss 1.6723, time 505.48ms, mfu 0.72%
iter 450: loss 1.6586, time 506.22ms, mfu 0.72%
iter 460: loss 1.6404, time 510.29ms, mfu 0.72%
iter 470: loss 1.6098, time 513.00ms, mfu 0.72%
iter 480: loss 1.6214, time 513.14ms, mfu 0.73%
iter 490: loss 1.6086, time 506.09ms, mfu 0.73%
step 500: train loss 1.5293, val loss 1.7149
saving checkpoint to out-shakespeare-char
iter 500: loss 1.6066, time 28212.21ms, mfu 0.65%
iter 510: loss 1.6067, time 517.67ms, mfu 0.66%
iter 520: loss 1.5794, time 505.94ms, mfu 0.67%
iter 530: loss 1.5868, time 506.12ms, mfu 0.68%
iter 540: loss 1.5886, time 505.58ms, mfu 0.68%
iter 550: loss 1.5681, time 506.56ms, mfu 0.69%
iter 560: loss 1.5414, time 505.10ms, mfu 0.69%
iter 570: loss 1.5310, time 507.75ms, mfu 0.70%
iter 580: loss 1.5209, time 509.56ms, mfu 0.70%
iter 590: loss 1.5181, time 510.85ms, mfu 0.70%
iter 600: loss 1.5268, time 507.71ms, mfu 0.71%
iter 610: loss 1.5159, time 511.66ms, mfu 0.71%
iter 620: loss 1.4916, time 505.85ms, mfu 0.71%
iter 630: loss 1.4702, time 505.51ms, mfu 0.71%
iter 640: loss 1.5006, time 505.82ms, mfu 0.72%
iter 650: loss 1.4703, time 507.78ms, mfu 0.72%
iter 660: loss 1.4472, time 510.24ms, mfu 0.72%
iter 670: loss 1.4882, time 515.60ms, mfu 0.72%
iter 680: loss 1.4554, time 516.04ms, mfu 0.72%
iter 690: loss 1.4254, time 515.09ms, mfu 0.72%
iter 700: loss 1.4466, time 511.89ms, mfu 0.72%
iter 710: loss 1.4475, time 511.92ms, mfu 0.72%
iter 720: loss 1.4949, time 511.74ms, mfu 0.72%
iter 730: loss 1.4201, time 510.25ms, mfu 0.72%
iter 740: loss 1.4469, time 508.43ms, mfu 0.72%
step 750: train loss 1.3481, val loss 1.5723
saving checkpoint to out-shakespeare-char
iter 750: loss 1.4146, time 27978.96ms, mfu 0.65%
iter 760: loss 1.4376, time 518.39ms, mfu 0.66%
iter 770: loss 1.3787, time 542.65ms, mfu 0.66%
iter 780: loss 1.4110, time 516.90ms, mfu 0.67%
iter 790: loss 1.3938, time 508.96ms, mfu 0.67%
iter 800: loss 1.3736, time 516.93ms, mfu 0.68%
iter 810: loss 1.4245, time 511.04ms, mfu 0.68%
iter 820: loss 1.4152, time 508.48ms, mfu 0.69%
iter 830: loss 1.3416, time 516.34ms, mfu 0.69%
iter 840: loss 1.4120, time 510.01ms, mfu 0.70%
iter 850: loss 1.3914, time 506.58ms, mfu 0.70%
iter 860: loss 1.3991, time 509.91ms, mfu 0.70%
iter 870: loss 1.3583, time 519.44ms, mfu 0.70%
iter 880: loss 1.3483, time 509.09ms, mfu 0.71%
iter 890: loss 1.3380, time 511.24ms, mfu 0.71%
iter 900: loss 1.3718, time 511.19ms, mfu 0.71%
iter 910: loss 1.3574, time 511.85ms, mfu 0.71%
iter 920: loss 1.3305, time 507.84ms, mfu 0.72%
iter 930: loss 1.3278, time 514.65ms, mfu 0.72%
iter 940: loss 1.3234, time 507.43ms, mfu 0.72%
iter 950: loss 1.3370, time 511.89ms, mfu 0.72%
iter 960: loss 1.3534, time 511.29ms, mfu 0.72%
iter 970: loss 1.3417, time 507.88ms, mfu 0.72%
iter 980: loss 1.3305, time 505.28ms, mfu 0.72%
iter 990: loss 1.3194, time 507.59ms, mfu 0.72%
step 1000: train loss 1.2612, val loss 1.5116
saving checkpoint to out-shakespeare-char
